type,name,id,self_size,edge_count,trace_node_id,detachedness
string,105,413,24,1,0,0
string,106,415,24,1,0,0
string,107,417,24,1,0,0
string,108,419,32,1,0,0
string,109,421,32,1,0,0
string,110,423,24,1,0,0
string,111,425,40,1,0,0
string,112,427,32,1,0,0
string,113,429,24,1,0,0
string,114,431,32,1,0,0
string,115,433,24,1,0,0
string,116,435,24,1,0,0
string,117,437,32,1,0,0
string,118,439,24,1,0,0
string,119,441,24,1,0,0
string,120,443,24,1,0,0
string,121,445,24,1,0,0
string,122,447,24,1,0,0
string,123,449,24,1,0,0
string,124,451,24,1,0,0
string,125,453,40,1,0,0
string,126,455,40,1,0,0
string,127,457,32,1,0,0
string,128,459,40,1,0,0
string,129,461,40,1,0,0
string,130,463,40,1,0,0
string,131,465,32,1,0,0
string,132,467,24,1,0,0
string,133,469,24,1,0,0
string,134,471,24,1,0,0
string,135,473,32,1,0,0
string,136,475,24,1,0,0
string,137,477,24,1,0,0
string,138,479,24,1,0,0
string,139,481,24,1,0,0
string,140,483,32,1,0,0
string,141,485,32,1,0,0
string,142,487,24,1,0,0
string,143,489,24,1,0,0
string,144,491,32,1,0,0
string,145,493,24,1,0,0
string,146,495,24,1,0,0
string,147,497,24,1,0,0
string,148,499,32,1,0,0
string,149,501,24,1,0,0
string,150,503,32,1,0,0
string,151,505,24,1,0,0
string,152,507,24,1,0,0
string,153,509,32,1,0,0
string,154,511,24,1,0,0
string,155,513,32,1,0,0
string,156,515,24,1,0,0
string,157,517,24,1,0,0
string,158,519,32,1,0,0
string,159,521,24,1,0,0
string,160,523,32,1,0,0
string,161,525,24,1,0,0
string,162,527,24,1,0,0
string,163,529,24,1,0,0
string,164,531,24,1,0,0
string,165,533,32,1,0,0
string,166,535,24,1,0,0
string,167,537,32,1,0,0
string,168,539,32,1,0,0
string,169,541,24,1,0,0
string,170,543,24,1,0,0
string,171,545,24,1,0,0
string,172,547,24,1,0,0
string,173,549,32,1,0,0
string,174,551,24,1,0,0
string,175,553,24,1,0,0
string,176,555,32,1,0,0
string,177,557,24,1,0,0
string,178,559,32,1,0,0
string,179,561,32,1,0,0
string,180,563,24,1,0,0
string,181,565,24,1,0,0
string,182,567,24,1,0,0
string,183,569,24,1,0,0
string,184,571,32,1,0,0
string,185,573,24,1,0,0
string,186,575,40,1,0,0
string,187,577,32,1,0,0
string,188,579,24,1,0,0
string,189,581,32,1,0,0
string,190,583,32,1,0,0
string,191,585,40,1,0,0
string,192,587,24,1,0,0
string,193,589,32,1,0,0
string,194,591,32,1,0,0
string,195,593,32,1,0,0
string,196,595,24,1,0,0
string,197,597,24,1,0,0
string,198,599,24,1,0,0
string,199,601,24,1,0,0
string,200,603,24,1,0,0
string,201,605,24,1,0,0
string,202,607,24,1,0,0
string,203,609,32,1,0,0
string,204,611,32,1,0,0
string,205,613,24,1,0,0
string,206,615,24,1,0,0
string,207,617,24,1,0,0
string,208,619,32,1,0,0
string,209,621,24,1,0,0
string,210,623,24,1,0,0
string,211,625,32,1,0,0
string,212,627,32,1,0,0
string,213,629,32,1,0,0
string,214,631,24,1,0,0
string,215,633,24,1,0,0
string,216,635,24,1,0,0
string,217,637,32,1,0,0
string,218,639,32,1,0,0
string,219,641,24,1,0,0
string,220,643,24,1,0,0
string,221,645,32,1,0,0
string,222,647,32,1,0,0
string,223,649,32,1,0,0
string,224,651,32,1,0,0
string,225,653,32,1,0,0
string,226,655,24,1,0,0
string,227,657,24,1,0,0
string,228,659,32,1,0,0
string,229,661,24,1,0,0
string,230,663,32,1,0,0
string,231,665,32,1,0,0
string,232,667,32,1,0,0
string,233,669,24,1,0,0
string,234,671,24,1,0,0
string,235,673,24,1,0,0
string,236,675,24,1,0,0
string,237,677,24,1,0,0
string,238,679,40,1,0,0
string,239,681,32,1,0,0
string,240,683,24,1,0,0
string,241,685,32,1,0,0
string,242,687,40,1,0,0
string,243,689,24,1,0,0
string,244,691,32,1,0,0
string,245,693,24,1,0,0
string,246,695,32,1,0,0
string,247,697,24,1,0,0
string,248,699,24,1,0,0
string,249,701,24,1,0,0
string,250,703,32,1,0,0
string,251,705,24,1,0,0
string,252,707,32,1,0,0
string,253,709,24,1,0,0
string,254,711,24,1,0,0
string,255,713,40,1,0,0
string,256,715,24,1,0,0
